trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.072,0.034,0.092,1.0,1,0.036,0.03,0.024,0.5,10,1000
2,0.22,0,0.032,0.0,0.043,0.115,0,0.0,0.0,0.0,0.5,10,1000
3,1.0,1,0.937,0.093,0.749,1.0,1,0.913,0.08,0.715,0.5,10,1000
4,1.0,1,0.866,0.0,0.835,1.0,1,1.0,0.117,0.662,0.5,10,1000
5,1.0,1,1.0,0.0,0.505,1.0,1,0.0,0.0,0.0,0.5,10,1000
6,1.0,1,0.946,0.001,0.404,1.0,1,0.0,0.0,0.002,0.5,10,1000
7,1.0,1,0.0,0.0,0.008,1.0,1,1.0,1.0,0.594,0.5,10,1000
8,0.0,0,0.0,0.0,0.195,1.0,1,1.0,1.0,1.0,0.5,10,1000
9,0.0,0,0.0,0.0,0.09,1.0,1,1.0,0.0,1.0,0.5,10,1000
10,0.989,0,0.002,0.0,0.166,1.0,0,0.999,0.0,0.738,0.5,10,1000
11,1.0,1,0.957,0.971,0.909,0.0,0,0.0,0.04,0.238,0.5,10,1000
12,1.0,1,0.999,0.946,0.977,1.0,1,0.0,0.003,0.245,0.5,10,1000
13,0.946,0,0.82,0.0,0.79,0.998,0,0.889,0.0,0.811,0.5,10,1000
14,1.0,0,1.0,0.0,0.61,1.0,0,1.0,0.0,0.592,0.5,10,1000
15,1.0,1,0.0,1.0,0.064,1.0,1,0.0,1.0,0.079,0.5,10,1000
16,1.0,1,0.002,1.0,0.268,0.0,0,0.0,0.997,0.186,0.5,10,1000
17,1.0,1,0.0,0.959,0.016,1.0,1,0.0,0.979,0.302,0.5,10,1000
18,1.0,1,0.0,0.969,0.071,1.0,1,0.0,0.968,0.041,0.5,10,1000
19,1.0,1,0.993,0.0,0.784,1.0,1,0.987,0.0,0.778,0.5,10,1000
20,1.0,1,1.0,0.0,0.769,1.0,1,1.0,0.0,0.642,0.5,10,1000
21,1.0,1,0.806,0.822,0.779,1.0,1,0.0,0.136,0.007,0.5,10,1000
22,1.0,1,1.0,1.0,0.816,1.0,1,0.0,0.0,0.092,0.5,10,1000
23,0.0,0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.895,0.5,10,1000
24,1.0,1,0.279,0.0,0.315,1.0,1,1.0,0.165,0.843,0.5,10,1000
25,1.0,1,0.005,0.005,0.016,1.0,1,0.994,0.99,0.864,0.5,10,1000
26,1.0,1,0.118,0.0,0.145,1.0,1,1.0,0.809,0.591,0.5,10,1000
27,1.0,1,1.0,0.143,0.997,0.0,0,0.0,0.0,0.036,0.5,10,1000
28,1.0,1,1.0,0.0,0.888,0.0,0,0.0,0.0,0.0,0.5,10,1000
29,1.0,1,0.87,0.054,0.614,1.0,1,0.951,0.103,0.6,0.5,10,1000
30,1.0,1,0.882,0.102,0.8,1.0,1,0.89,0.082,0.744,0.5,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.5,10,1000
32,0.0,0,0.0,0.056,0.204,1.0,1,0.117,0.062,0.209,0.5,10,1000
