date,id,data,extra,feedback
19/11/2013,9CB047FB-126A-C170-4A05-71B141D58962,"27,0,0,0,86,4,26,0,0,0,8,91,13,0,0,0,3,92,6,0,0,0,91,6,19,0,0,0,81,71,4,0,0,0,38,81,10,0,0,0,77,30,14,0,0,0,72,65,23,0,0,0,1,1,32,0,0,0,5,73,3,0,0,0,61,61,30,0,0,0,7,83,28,0,0,0,6,83,2,0,0,0,75,74,1,0,0,0,69,57,15,0,0,0,95,93,7,0,0,0,86,85,9,0,0,0,61,80,16,0,0,0,80,8,22,0,0,0,88,6,8,0,0,0,8,83,17,0,0,0,82,69,25,0,0,0,32,81,24,0,0,0,44,78,20,0,0,0,84,79,31,0,0,0,79,87,12,0,0,0,90,22,11,0,0,0,80,51,5,0,0,0,75,48,21,0,0,0,78,27,29,0,0,0,18,69,18,0,0,0,31,81","2,23,8,9,15.82025,2,1,9",When one ball made it possible for E to bounce through the gate.
19/11/2013,916BD493-78E8-D633-4C17-71B704ECE94F,"1,0,0,0,64,86,7,0,0,0,95,96,22,0,0,0,6,96,10,0,0,0,0,0,5,0,0,0,9,85,15,0,0,0,96,95,26,0,0,0,92,4,31,0,0,0,10,83,21,0,0,0,84,87,11,0,0,0,94,5,27,0,0,0,95,8,8,0,0,0,19,93,25,0,0,0,34,87,2,0,0,0,2,1,28,0,0,0,96,24,24,0,0,0,99,99,3,0,0,0,97,99,13,0,0,0,2,2,17,0,0,0,87,90,32,0,0,0,6,93,23,0,0,0,3,4,4,0,0,0,97,97,16,0,0,0,96,3,19,0,0,0,95,95,12,0,0,0,98,32,30,0,0,0,93,93,18,0,0,0,85,75,14,0,0,0,3,3,29,0,0,0,84,54,20,0,0,0,41,98,6,0,0,0,96,52,9,0,0,0,67,98","1,43,4,9,18.3441,1,1,9",If it was clear that the ball pushed the e ball through the gate then it was responsible.  If it was hit first and then the ball went though it was questionable.
19/11/2013,F15CBCBC-0BBE-0323-D066-71B57BECB44A,"23,0,0,0,2,1,21,0,0,0,83,8,20,0,0,0,99,98,17,0,0,0,97,96,24,0,0,0,49,49,5,0,0,0,98,98,9,0,0,0,4,99,18,0,0,0,99,99,8,0,0,0,3,99,2,0,0,0,2,3,22,0,0,0,99,97,6,0,0,0,98,3,14,0,0,0,3,3,1,0,0,0,96,7,30,0,0,0,97,98,19,0,0,0,55,55,16,0,0,0,98,3,13,0,0,0,4,97,4,0,0,0,99,98,32,0,0,0,5,97,26,0,0,0,98,97,7,0,0,0,98,96,29,0,0,0,92,93,10,0,0,0,21,96,11,0,0,0,98,5,12,0,0,0,96,95,27,0,0,0,98,9,28,0,0,0,96,7,3,0,0,0,97,95,31,0,0,0,75,74,25,0,0,0,98,99,15,0,0,0,96,95","2,35,5,10,17.200166666666668,2,1,9","When the ball A hit the E or the ball B hit the A, it is likely that the E will change the direction to either go to the gate or not."
19/11/2013,43C67332-06AD-EE23-EEA2-71B3AC1E86C0,"6,0,0,0,22,90,16,0,0,0,99,0,15,0,0,0,100,100,11,0,0,0,100,0,8,0,0,0,0,100,3,0,0,0,100,97,27,0,0,0,100,0,22,0,0,0,83,83,26,0,0,0,100,100,12,0,0,0,100,22,4,0,0,0,62,99,18,0,0,0,88,88,1,0,0,0,8,8,32,0,0,0,0,8,20,0,0,0,7,7,25,0,0,0,11,100,17,0,0,0,53,94,28,0,0,0,100,0,19,0,0,0,4,4,31,0,0,0,3,3,2,0,0,0,0,0,13,0,0,0,0,100,7,0,0,0,93,98,23,0,0,0,0,100,5,0,0,0,99,3,24,0,0,0,0,97,30,0,0,0,100,91,10,0,0,0,0,100,29,0,0,0,88,100,14,0,0,0,0,0,9,0,0,0,0,100,21,0,0,0,100,0","1,46,6,10,19.80775,1,1,9",I took me awhile to get the hang of this task. But I noticed that when E was already headed for the gate it was easier to gauge A and Bs influence.
19/11/2013,14AC421C-55E2-A251-051B-71BB32B10A3D,"18,0,0,0,48,48,6,0,0,0,100,0,25,0,0,0,0,100,9,0,0,0,0,100,14,0,0,0,0,0,13,0,0,0,0,100,30,0,0,0,100,0,28,0,0,0,100,0,24,0,0,0,0,100,32,0,0,0,0,0,20,0,0,0,0,100,2,0,0,0,0,0,5,0,0,0,100,0,22,0,0,0,0,100,16,0,0,0,100,0,4,0,0,0,49,49,31,0,0,0,50,49,27,0,0,0,100,0,7,0,0,0,49,49,12,0,0,0,100,3,17,0,0,0,49,48,19,0,0,0,50,51,3,0,0,0,50,50,23,0,0,0,0,100,11,0,0,0,99,0,10,0,0,0,0,99,29,0,0,0,0,100,21,0,0,0,100,0,8,0,0,0,0,98,15,0,0,0,50,50,26,0,0,0,51,50,1,0,0,0,0,100","2,26,0,10,19.176266666666667,2,1,9",I thought when they caused something to happen they where resposable. I also think the survay was too long for 1.25.
19/11/2013,D7E0FAA1-E58D-D208-9929-71BC0AA4E435,"13,0,0,0,0,100,6,0,0,0,5,100,11,0,0,0,100,0,27,0,0,0,100,0,22,0,0,0,0,100,15,0,0,0,100,100,26,0,0,0,100,0,24,0,0,0,24,93,16,0,0,0,100,0,30,0,0,0,83,26,7,0,0,0,40,92,2,0,0,0,100,100,23,0,0,0,0,0,5,0,0,0,41,67,8,0,0,0,0,100,18,0,0,0,55,94,32,0,0,0,0,100,17,0,0,0,80,54,29,0,0,0,13,100,25,0,0,0,34,90,19,0,0,0,100,99,3,0,0,0,100,100,20,0,0,0,100,100,31,0,0,0,85,100,1,0,0,0,86,19,10,0,0,0,51,72,9,0,0,0,0,100,28,0,0,0,97,0,21,0,0,0,79,59,4,0,0,0,98,96,14,0,0,0,0,0,12,0,0,0,96,92","1,26,1,10,16.005283333333335,2,1,9",If one ball knocked the other out of the way then they were more responsible
19/11/2013,CFC41C79-33DD-08B1-A84E-71BFEF808FF5,"28,0,0,0,73,23,30,0,0,0,52,31,5,0,0,0,100,0,23,0,0,0,100,0,14,0,0,0,100,0,26,0,0,0,0,100,18,0,0,0,15,80,9,0,0,0,0,100,11,0,0,0,100,0,27,0,0,0,100,0,29,0,0,0,42,70,17,0,0,0,81,16,15,0,0,0,51,50,13,0,0,0,0,42,2,0,0,0,0,0,24,0,0,0,37,63,3,0,0,0,100,100,19,0,0,0,49,49,7,0,0,0,22,75,16,0,0,0,100,0,22,0,0,0,24,70,32,0,0,0,0,100,1,0,0,0,18,17,21,0,0,0,72,24,8,0,0,0,0,100,20,0,0,0,27,69,10,0,0,0,24,23,12,0,0,0,59,52,4,0,0,0,60,51,6,0,0,0,100,0,25,0,0,0,49,87,31,0,0,0,74,48","2,32,1,10,19.612133333333333,1,1,9","I used intuition to solve the problems.... explaining the logic was complex and ambivalent. Sometimes the logic would work, sometimes the same logic wouldn't."
19/11/2013,28072D7C-F1AE-A342-A12D-71C2DFA5EB7F,"21,0,0,0,90,36,25,0,0,0,23,74,11,0,0,0,99,0,7,0,0,0,50,100,6,0,0,0,100,0,31,0,0,0,2,6,30,0,0,0,84,66,15,0,0,0,100,99,18,0,0,0,54,89,1,0,0,0,5,5,24,0,0,0,14,84,29,0,0,0,0,95,22,0,0,0,0,98,13,0,0,0,7,5,2,0,0,0,0,0,9,0,0,0,0,100,8,0,0,0,0,100,4,0,0,0,84,90,5,0,0,0,95,17,27,0,0,0,75,2,17,0,0,0,82,49,12,0,0,0,81,49,10,0,0,0,54,45,20,0,0,0,67,78,23,0,0,0,0,25,14,0,0,0,0,0,19,0,0,0,5,6,26,0,0,0,70,88,16,0,0,0,99,0,3,0,0,0,99,99,28,0,0,0,84,0,32,0,0,0,0,17","1,37,7,10,30.493883333333333,1,1,9","I mostly considered if E would make it through the gate with or without the help of either A or B. There were some cases where one of the balls would have hit it on its path, but the other ball pushed it out of the way. That was a factor as well."
19/11/2013,B90FA31E-3F7C-3E0E-D54F-71C1DF3019A1,"7,0,0,0,20,88,24,0,0,0,42,60,17,0,0,0,67,53,21,0,0,0,73,5,19,0,0,0,52,52,16,0,0,0,98,0,28,0,0,0,98,0,30,0,0,0,50,58,31,0,0,0,50,50,5,0,0,0,89,0,27,0,0,0,98,0,2,0,0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,32,0,0,0,0,91,29,0,0,0,51,52,3,0,0,0,90,90,12,0,0,0,90,17,15,0,0,0,88,86,4,0,0,0,87,86,25,0,0,0,13,87,8,0,0,0,0,98,20,0,0,0,42,64,26,0,0,0,86,86,22,0,0,0,17,97,18,0,0,0,92,92,9,0,0,0,0,98,6,0,0,0,29,29,11,0,0,0,98,0,23,0,0,0,0,0,1,0,0,0,22,23,13,0,0,0,0,89","1,30,4,9,24.711166666666667,2,1,9","More responsible when their own movement directly resulted in E going through/missing gate. If their movement was influenced by the other, they were not as responsible. If E was going one way or the other anyways, not as responsible."
19/11/2013,4E81AF53-65A2-714C-3F5A-71C523C46050,"25,0,0,0,80,26,5,0,0,0,6,89,2,0,0,0,48,48,20,0,0,0,51,51,27,0,0,0,97,2,32,0,0,0,0,99,7,0,0,0,52,52,11,0,0,0,98,0,8,0,0,0,0,99,22,0,0,0,50,49,10,0,0,0,50,49,28,0,0,0,99,0,4,0,0,0,49,48,12,0,0,0,50,50,9,0,0,0,0,99,21,0,0,0,52,51,30,0,0,0,53,51,23,0,0,0,0,100,19,0,0,0,49,48,14,0,0,0,0,0,16,0,0,0,100,0,31,0,0,0,49,49,15,0,0,0,50,49,26,0,0,0,51,50,18,0,0,0,3,97,29,0,0,0,48,49,6,0,0,0,48,47,24,0,0,0,49,47,13,0,0,0,0,99,3,0,0,0,48,48,17,0,0,0,49,50,1,0,0,0,52,51","2,45,5,10,20.81275,1,1,9","I started to realize toward the end of the trials that the forces/end results could actually be viewed in many different ways.  Especially if you started to think about angles and possible ""what ifs"" of the different trajectories."
